,id,article_id,evidence_type
147,mi0569,3,i2t
148,mi4590,0,t2t
149,mi4590,4,t2t
150,mi4590,7,t2t
151,mi4590,8,t2t
152,fa0949,0,t2t
153,fa0949,1,t2t
154,fa0949,3,t2t
155,fa0949,4,t2t
156,fa0949,6,t2t
157,fa0949,3,i2t
158,mi0894,0,t2t
159,mi0894,1,t2t
160,mi0894,3,i2t
161,fa1116,0,t2t
162,fa1116,2,t2t
163,fa1116,3,t2t
164,fa1116,5,t2t
165,fa1116,7,t2t
166,fa2964,1,t2t
167,fa2964,6,t2t
168,mi3790,2,t2t
169,mi3790,8,t2t
170,fa2433,3,t2t
171,fa0678,1,t2t
172,fa0678,5,t2t
173,fa0678,8,t2t
174,fa0678,2,i2t
175,mi5352,2,t2t
176,mi5352,3,t2t
177,mi5352,4,t2t
178,mi5352,5,t2t
179,mi5352,6,t2t
180,mi5352,7,t2t
181,mi5352,8,t2t
182,mi5352,9,t2t
183,mi5352,1,i2t
184,mi5352,5,i2t
185,mi5352,8,i2t
186,mi1051,1,t2t
187,mi1051,2,t2t
188,mi1051,6,t2t
189,mi1051,9,t2t
190,fa2049,0,t2t
191,fa2049,3,t2t
192,fa0415,2,t2t
193,fa0415,7,t2t
194,fa0415,8,t2t
195,fa0415,9,t2t
196,fa0415,1,i2t
197,fa2456,2,t2t
198,fa2456,6,t2t
199,fa4256,0,t2t
200,fa4256,2,t2t
201,fa4256,6,t2t
202,fa4256,7,t2t
203,mi1218,0,t2t
204,mi1218,1,t2t
205,mi1218,8,t2t
206,mi1218,9,t2t
207,mi1218,0,i2t
208,mi1218,3,i2t
209,mi1218,6,i2t
210,fa2153,2,t2t
211,fa2153,3,t2t
212,fa2153,4,t2t
213,fa2153,5,t2t
214,fa2153,7,t2t
215,fa2153,1,i2t
216,fa2404,3,i2t
217,fa3338,0,t2t
218,fa3338,1,t2t
219,fa3338,2,t2t
220,fa3338,3,t2t
221,fa3338,6,t2t
222,fa3338,8,t2t
223,fa3338,9,t2t
224,fa3338,2,i2t
225,fa3338,6,i2t
226,fa3338,7,i2t
227,fa3966,0,t2t
228,fa3966,1,t2t
229,fa3966,2,t2t
230,fa3966,5,t2t
231,fa3966,6,t2t
232,fa3966,7,t2t
233,fa3966,8,t2t
234,fa3966,1,i2t
235,fa3966,4,i2t
236,fa3966,7,i2t
237,fa2210,8,i2t
238,mi2343,2,t2t
239,mi2343,3,t2t
240,mi2343,4,t2t
241,mi2343,7,t2t
242,mi2343,9,t2t
243,mi0562,4,i2t
244,mi0562,7,i2t
245,mi0562,8,i2t
246,fa3517,1,t2t
247,mi4255,1,t2t
248,mi4255,2,t2t
249,mi4255,3,t2t
250,mi4255,4,t2t
251,mi4255,7,t2t
252,mi5057,1,t2t
253,mi5057,4,t2t
254,mi5057,5,t2t
255,mi5057,7,t2t
256,mi5057,8,t2t
257,mi5057,9,t2t
258,mi0865,3,t2t
259,mi0865,4,t2t
260,mi0865,6,t2t
261,mi0865,9,t2t
262,fa3621,0,t2t
263,fa3621,1,t2t
264,fa3621,2,t2t
265,fa3621,4,t2t
266,fa3621,9,t2t
267,mi1402,0,t2t
268,mi1402,1,t2t
269,mi1402,4,t2t
270,mi1402,6,t2t
271,mi1402,8,t2t
272,mi1402,9,t2t
273,fa0287,3,t2t
274,fa0287,5,t2t
275,fa0287,5,i2t
276,fa0077,0,t2t
277,fa0077,1,t2t
278,fa0077,4,t2t
279,fa0077,8,t2t
280,mi3186,0,t2t
281,mi3186,2,t2t
282,mi3186,3,t2t
283,mi3186,7,t2t
284,mi3186,8,t2t
285,mi3186,0,i2t
286,mi3186,2,i2t
287,mi3973,1,t2t
288,mi3973,4,t2t
289,mi3973,5,t2t
290,mi3973,6,t2t
291,mi3441,9,t2t
292,mi3441,0,i2t
293,fa1092,0,t2t
294,fa1092,1,t2t
295,fa1092,2,t2t
296,fa1092,3,t2t
297,fa1092,7,t2t
298,fa1092,9,t2t
299,mi2034,1,t2t
300,mi2034,3,t2t
301,mi2034,5,t2t
302,mi2034,6,t2t
303,fa0366,1,t2t
304,fa0366,2,t2t
305,fa0366,3,t2t
306,fa0366,4,i2t
307,fa0366,7,i2t
308,mi4131,0,t2t
309,mi4131,1,t2t
310,mi4131,2,t2t
311,mi4131,3,t2t
312,mi4131,4,t2t
313,mi4131,7,t2t
314,mi4131,9,t2t
315,mi3943,1,t2t
316,mi3943,2,t2t
317,mi3943,3,t2t
318,mi3943,5,t2t
319,mi3943,6,t2t
320,mi3943,7,t2t
321,mi3943,3,i2t
322,mi0209,0,t2t
323,mi0209,4,t2t
324,fa2817,6,t2t
325,fa2817,1,i2t
326,fa2817,5,i2t
327,mi2671,1,t2t
328,mi2671,3,t2t
329,mi2671,4,t2t
330,mi2671,5,t2t
331,mi2671,6,t2t
332,mi2671,7,t2t
333,fa1423,8,t2t
334,fa1423,0,i2t
335,fa0276,6,i2t
336,fa2026,2,t2t
337,fa2026,5,t2t
338,fa1772,1,t2t
339,fa1772,9,t2t
340,fa3620,1,t2t
341,fa3620,2,t2t
342,fa3620,5,t2t
343,fa3620,8,t2t
344,fa3620,9,t2t
345,fa3620,4,i2t
346,fa3620,5,i2t
347,fa3620,9,i2t
348,mi3226,0,t2t
349,mi3226,1,t2t
350,mi3226,3,t2t
351,mi3226,4,t2t
352,mi3226,0,i2t
353,mi1318,0,t2t
354,mi1318,1,t2t
355,mi1318,3,t2t
356,mi1318,5,t2t
357,mi1318,6,t2t
358,mi1318,7,t2t
359,mi1318,8,t2t
360,mi1318,9,t2t
361,fa3140,1,t2t
362,fa3140,5,i2t
363,fa2008,0,t2t
364,fa2008,3,t2t
365,fa2008,4,t2t
366,fa2008,5,t2t
367,fa2008,7,t2t
368,fa0908,1,i2t
369,mi4632,5,t2t
370,mi4632,6,t2t
371,mi4632,8,t2t
372,fa0870,0,t2t
373,fa0870,1,t2t
374,fa2059,0,t2t
375,fa2059,1,t2t
376,fa2059,2,t2t
377,fa2059,3,t2t
378,fa2059,4,t2t
379,fa2059,7,t2t
380,fa2059,8,i2t
381,mi1754,0,t2t
382,mi1754,3,t2t
383,mi1754,5,t2t
384,mi1754,6,t2t
385,mi1754,8,t2t
386,mi3503,0,t2t
387,mi3503,1,t2t
388,mi3503,2,t2t
389,mi3503,3,t2t
390,mi3503,5,t2t
391,mi3503,6,t2t
392,mi3503,7,t2t
393,mi3503,8,t2t
394,fa1044,0,t2t
395,fa1044,5,t2t
396,fa1044,6,t2t
397,fa1044,5,i2t
398,mi2600,0,t2t
399,mi2600,2,t2t
400,mi2600,5,t2t
401,mi2600,7,t2t
402,mi2600,1,i2t
403,fa3227,0,t2t
404,fa3227,1,i2t
405,fa1982,7,t2t
406,mi0067,7,i2t
407,mi1385,0,t2t
408,mi1385,4,t2t
409,mi1385,4,i2t
410,mi1385,6,i2t
411,mi2388,2,t2t
412,mi2388,3,t2t
413,mi2388,5,t2t
414,mi2388,6,t2t
415,mi4043,2,t2t
416,mi4043,5,t2t
417,mi4043,7,t2t
418,mi4043,8,t2t
419,mi0630,0,t2t
420,fa1248,0,i2t
421,fa1248,7,i2t
422,fa1248,9,i2t
423,mi3033,0,t2t
424,fa1111,2,t2t
425,fa1111,4,t2t
426,fa1111,6,t2t
427,mi1144,0,t2t
428,mi1144,3,t2t
429,mi1144,7,t2t
430,mi1144,4,i2t
431,mi1144,6,i2t
432,mi1144,7,i2t
433,mi1144,9,i2t
434,mi4017,1,t2t
435,mi4017,4,t2t
436,fa2023,0,t2t
437,fa2023,1,t2t
438,fa2023,2,t2t
439,fa2023,4,t2t
440,fa2023,5,t2t
441,fa2023,7,t2t
442,fa2023,8,t2t
443,fa2023,9,t2t
444,mi2550,0,t2t
445,mi2550,6,t2t
446,mi2550,9,t2t
447,fa2572,0,t2t
448,fa2572,3,t2t
449,fa2572,6,t2t
450,fa2572,7,t2t
451,fa2572,8,t2t
452,fa2572,5,i2t
453,fa2572,6,i2t
454,fa2572,8,i2t
455,fa2572,9,i2t
456,mi3151,3,t2t
457,mi3151,4,t2t
458,mi3151,5,t2t
459,mi3151,6,t2t
460,mi3151,8,t2t
461,mi3151,9,t2t
462,mi3151,0,i2t
463,fa2475,0,t2t
464,fa2475,1,i2t
465,fa3960,0,t2t
466,fa3960,2,t2t
467,fa3960,3,t2t
468,fa3960,4,t2t
469,fa3960,6,t2t
470,fa3960,7,t2t
471,fa3960,9,t2t
472,fa3960,0,i2t
473,fa3960,5,i2t
474,fa2102,2,t2t
475,fa2102,5,t2t
476,fa2102,6,t2t
477,fa2102,7,t2t
478,mi4224,0,t2t
479,mi4224,1,t2t
480,mi4224,2,t2t
481,mi4224,3,t2t
482,mi4224,4,t2t
483,mi4224,7,t2t
484,mi4224,8,t2t
485,mi4224,9,t2t
486,mi4720,1,t2t
487,mi4720,0,i2t
488,mi4720,2,i2t
489,mi4720,4,i2t
490,mi3714,1,i2t
491,mi3714,3,i2t
492,fa0882,2,t2t
493,fa0882,4,t2t
494,fa0882,8,t2t
495,fa0882,9,t2t
496,mi4393,2,t2t
497,mi4393,3,t2t
498,mi4393,6,t2t
499,mi4393,8,t2t
500,mi4393,0,i2t
501,fa0290,2,t2t
502,fa0290,4,t2t
503,fa0290,9,t2t
504,fa3961,0,t2t
505,fa3961,1,t2t
506,fa3961,2,t2t
507,fa3961,3,t2t
508,fa3961,5,t2t
509,fa3961,7,t2t
510,fa3961,8,t2t
511,fa3961,9,t2t
512,mi1869,0,t2t
513,mi1869,1,t2t
514,mi1869,3,t2t
515,mi1869,5,t2t
516,mi1869,6,t2t
517,mi5212,0,t2t
518,mi5212,1,t2t
519,mi5212,3,t2t
520,mi5212,4,t2t
521,mi5212,5,t2t
522,mi5212,7,t2t
523,mi5212,9,t2t
524,fa2721,0,t2t
525,fa2721,2,t2t
526,fa2721,4,t2t
527,fa2721,5,t2t
528,fa2721,8,t2t
529,fa2721,9,t2t
530,fa2721,2,i2t
531,fa2721,5,i2t
532,fa2721,6,i2t
533,fa2721,7,i2t
534,fa2846,0,t2t
535,fa2846,2,t2t
536,fa2846,3,t2t
537,fa2846,4,t2t
538,fa2846,6,t2t
539,fa2846,8,t2t
540,fa2846,9,t2t
541,mi0809,0,t2t
542,mi0809,2,t2t
543,mi0809,3,t2t
544,mi0809,4,t2t
545,mi0809,6,t2t
546,mi0809,2,i2t
547,mi0809,9,i2t
548,fa3752,3,t2t
549,fa1451,4,t2t
550,fa1451,5,t2t
551,fa1451,6,t2t
552,fa1451,7,t2t
553,fa1451,8,t2t
554,fa3158,2,t2t
555,fa3158,3,t2t
556,fa3158,5,t2t
557,fa3158,8,t2t
558,fa3158,9,t2t
559,mi4673,6,t2t
560,mi4673,8,t2t
561,mi4673,1,i2t
562,mi0495,0,t2t
563,mi0495,1,t2t
564,mi0495,3,t2t
565,mi0495,4,t2t
566,mi0495,5,t2t
567,mi0495,7,t2t
568,mi0495,9,t2t
569,mi0495,0,i2t
570,mi0495,2,i2t
571,mi0495,3,i2t
572,mi0495,4,i2t
573,mi0495,7,i2t
574,fa0319,1,t2t
575,fa0319,3,t2t
576,fa0319,7,t2t
577,fa0319,1,i2t
578,fa0319,2,i2t
579,fa0319,8,i2t
580,mi3392,2,t2t
581,mi3392,3,t2t
582,mi3392,4,t2t
583,fa0153,0,t2t
584,fa2169,0,t2t
585,fa2169,1,t2t
586,fa2169,2,t2t
587,fa2169,5,t2t
588,fa2169,7,t2t
589,fa2169,8,t2t
590,fa2169,0,i2t
591,fa0706,1,t2t
592,fa0706,6,i2t
593,fa3574,2,t2t
594,fa2909,0,t2t
595,fa2909,4,t2t
596,mi0100,1,t2t
597,mi0100,2,t2t
598,mi0100,4,t2t
599,mi0100,5,t2t
600,mi0100,7,t2t
601,mi0100,9,t2t
602,mi0100,1,i2t
603,mi1828,0,t2t
604,mi1828,5,t2t
605,mi3506,1,t2t
606,mi3506,3,t2t
607,mi3506,5,t2t
608,mi3506,7,t2t
609,mi3506,8,t2t
610,mi1035,1,t2t
611,mi1035,2,t2t
612,mi1035,4,t2t
613,mi1035,5,t2t
614,mi1035,8,t2t
615,mi0937,1,t2t
616,mi0937,8,i2t
617,mi0937,9,i2t
618,fa1452,0,t2t
619,fa1452,2,t2t
620,fa1452,0,i2t
621,fa1452,1,i2t
622,fa1452,3,i2t
623,fa1452,4,i2t
624,fa1452,8,i2t
625,fa1452,9,i2t
626,mi3577,1,t2t
627,mi3577,4,t2t
628,mi3577,7,t2t
629,mi5010,0,t2t
630,mi5010,1,t2t
631,mi5010,2,t2t
632,mi5010,3,t2t
633,mi5010,5,t2t
634,mi5010,6,t2t
635,mi5010,7,t2t
636,mi5010,8,t2t
637,mi5010,9,t2t
638,mi3535,3,t2t
639,mi3535,5,t2t
640,fa2024,0,t2t
641,fa1641,1,t2t
642,fa1641,2,t2t
643,fa1641,3,t2t
644,fa1641,4,t2t
645,fa1641,5,t2t
646,fa1641,7,t2t
647,fa1641,3,i2t
648,mi4626,0,t2t
649,mi4626,1,t2t
650,mi4626,2,t2t
651,mi4626,3,t2t
652,mi4626,4,t2t
653,mi4626,5,t2t
654,mi1602,1,t2t
655,mi1602,5,t2t
656,mi1602,6,t2t
657,mi1602,9,t2t
658,fa0182,0,t2t
659,fa0182,1,t2t
660,fa0182,3,t2t
661,fa0182,4,t2t
662,fa0182,5,t2t
663,fa0182,6,t2t
664,fa0182,9,t2t
665,fa0182,7,i2t
666,fa0182,8,i2t
667,fa1819,0,t2t
668,fa1819,2,t2t
669,fa1819,4,t2t
670,fa1819,8,t2t
671,mi3921,5,t2t
672,mi1130,0,t2t
673,mi1130,1,t2t
674,mi1130,2,t2t
675,mi1130,5,t2t
676,mi1130,7,t2t
677,mi1130,9,t2t
678,fa1019,1,t2t
679,fa1019,2,t2t
680,fa1019,5,t2t
681,fa1019,8,t2t
682,fa1019,9,t2t
683,fa1019,2,i2t
684,mi3419,0,t2t
685,mi3419,4,t2t
686,mi3419,8,t2t
687,mi0339,1,t2t
688,mi4662,8,t2t
689,fa2493,0,t2t
690,mi2101,4,i2t
691,fa0782,0,t2t
692,fa0782,1,t2t
693,fa0782,2,t2t
694,fa0782,3,t2t
695,fa0782,4,t2t
696,fa0782,6,t2t
697,fa0782,8,t2t
698,fa0782,3,i2t
699,mi0813,0,t2t
700,mi0813,2,t2t
701,mi0813,4,t2t
702,mi0813,6,t2t
703,mi0813,8,t2t
704,fa1406,0,t2t
705,fa1406,2,t2t
706,fa1406,5,t2t
707,fa1406,7,t2t
708,fa1406,9,t2t
709,fa1406,7,i2t
710,fa0813,2,t2t
711,fa0813,3,t2t
712,fa0813,4,t2t
713,fa0813,5,t2t
714,fa0813,7,t2t
715,fa0813,8,t2t
716,fa0813,1,i2t
717,fa0813,7,i2t
718,mi5077,0,t2t
719,mi5077,1,t2t
720,mi5077,3,t2t
721,mi5077,9,t2t
722,mi1695,0,t2t
723,mi1695,3,t2t
724,mi1695,4,t2t
725,mi1695,7,t2t
726,mi1695,8,t2t
727,mi1695,9,t2t
728,mi4603,0,t2t
729,mi4603,1,t2t
730,mi4603,3,t2t
731,mi4603,4,t2t
732,mi4603,5,t2t
733,mi4603,0,i2t
734,fa1135,0,t2t
735,fa1135,3,t2t
736,fa1135,7,t2t
737,mi0401,2,t2t
738,mi0401,4,t2t
739,mi0401,5,t2t
740,mi0401,6,t2t
741,mi0401,7,t2t
742,mi0401,9,t2t
743,mi0401,2,i2t
744,mi0215,0,t2t
745,mi0215,1,t2t
746,mi0215,5,t2t
747,mi0215,6,t2t
748,mi0215,8,t2t
749,mi0215,0,i2t
750,mi0215,3,i2t
751,mi3287,0,t2t
752,mi3287,1,t2t
753,mi3287,3,t2t
754,mi3287,7,t2t
755,mi3287,8,t2t
756,mi3287,9,t2t
757,mi3287,0,i2t
758,mi3287,7,i2t
759,mi5122,5,t2t
760,mi5122,6,t2t
761,mi5122,7,t2t
762,mi5122,8,t2t
763,mi5122,1,i2t
764,mi5122,6,i2t
765,mi5122,7,i2t
766,fa1356,0,i2t
767,fa1356,7,i2t
768,fa1040,0,t2t
769,fa1040,1,t2t
770,fa1040,2,t2t
771,fa1040,3,t2t
772,fa1040,7,t2t
773,fa1040,8,t2t
774,fa1040,9,t2t
775,fa1040,0,i2t
776,fa1040,1,i2t
777,fa1040,2,i2t
778,fa1040,3,i2t
779,fa1474,0,t2t
780,fa1474,4,t2t
781,fa1474,5,t2t
782,fa1474,7,t2t
783,fa1474,8,t2t
784,fa1474,9,t2t
785,fa0918,0,t2t
786,fa0918,5,t2t
787,fa0918,7,t2t
788,fa0686,0,t2t
789,fa0686,1,t2t
790,fa0686,2,t2t
791,fa0686,4,t2t
792,fa0686,5,t2t
793,fa0686,9,t2t
794,fa0686,7,i2t
795,fa0686,8,i2t
796,fa0686,9,i2t
797,fa3005,7,t2t
798,mi0235,6,t2t
799,mi0235,7,t2t
800,mi0235,8,t2t
801,mi0235,1,i2t
802,fa2014,1,t2t
803,fa2014,2,t2t
804,fa2014,0,i2t
805,fa2014,3,i2t
806,fa0611,4,i2t
807,fa0611,8,i2t
808,fa1495,0,t2t
809,fa1495,3,t2t
810,fa1495,4,t2t
811,fa1495,5,t2t
812,fa1495,6,t2t
813,fa1495,7,t2t
814,fa1495,9,i2t
815,fa0422,2,i2t
816,fa0422,4,i2t
817,fa0422,5,i2t
818,fa0422,6,i2t
819,fa0422,7,i2t
820,fa0422,9,i2t
821,fa2001,1,t2t
822,fa2001,4,t2t
823,mi1255,4,i2t
824,mi1255,5,i2t
825,fa4169,2,t2t
826,fa4169,3,t2t
827,fa4169,5,t2t
828,fa4169,6,t2t
829,fa4169,7,t2t
830,fa4169,8,t2t
831,fa4169,9,t2t
832,fa4169,2,i2t
833,fa4169,5,i2t
834,fa3699,0,t2t
835,fa3699,3,t2t
836,fa3699,5,t2t
837,fa3699,6,t2t
838,fa3699,0,i2t
839,mi3344,0,t2t
840,mi3344,2,t2t
841,mi3344,4,t2t
842,mi3344,5,t2t
843,mi3344,8,t2t
844,mi3344,9,t2t
845,mi3344,2,i2t
846,mi0836,0,t2t
847,mi0836,1,t2t
848,mi0836,2,t2t
849,mi0836,5,t2t
850,mi0836,7,t2t
851,mi0836,1,i2t
852,mi0836,3,i2t
853,mi0836,4,i2t
854,mi0836,7,i2t
855,mi0836,8,i2t
856,mi0836,9,i2t
857,fa3188,0,t2t
858,fa3188,2,t2t
859,fa3188,7,t2t
860,fa3188,8,t2t
861,fa3188,9,t2t
862,fa3188,0,i2t
863,fa2612,1,t2t
864,fa2612,1,i2t
865,mi1814,2,t2t
866,mi4809,0,i2t
867,mi3332,0,t2t
868,mi3332,1,t2t
869,mi3332,2,t2t
870,mi3332,5,t2t
871,mi3332,8,t2t
872,mi3332,9,t2t
873,mi3332,0,i2t
874,mi3332,1,i2t
875,mi3332,5,i2t
876,mi3332,7,i2t
877,mi5252,0,t2t
878,mi5252,4,t2t
879,mi5252,5,t2t
880,mi5252,7,t2t
881,mi2890,0,t2t
882,mi2890,5,t2t
883,mi2890,6,t2t
884,mi4818,3,t2t
885,mi4818,6,t2t
886,fa0329,3,t2t
887,fa0329,4,t2t
888,fa0329,5,t2t
889,fa0329,6,t2t
890,fa0329,7,t2t
891,fa0329,8,t2t
892,fa0329,0,i2t
893,fa0329,3,i2t
894,fa0329,7,i2t
895,fa2632,0,t2t
896,fa2632,2,t2t
897,fa2632,3,t2t
898,fa2632,7,t2t
899,fa2632,8,t2t
900,fa1786,1,t2t
901,fa1786,2,t2t
902,fa1786,3,t2t
903,fa1786,4,t2t
904,fa1786,0,i2t
905,fa1786,2,i2t
906,fa1786,4,i2t
907,fa2060,0,i2t
908,fa2628,0,t2t
909,fa2628,1,t2t
910,fa2628,2,t2t
911,fa2628,3,t2t
912,fa4062,0,t2t
913,fa4062,2,t2t
914,fa4062,4,t2t
915,fa4062,6,t2t
916,fa4062,7,t2t
917,fa4062,9,t2t
918,fa4062,5,i2t
919,fa3167,0,t2t
920,fa3167,2,t2t
921,fa3167,3,t2t
922,fa3167,4,t2t
923,fa3167,5,t2t
924,fa3167,6,t2t
925,fa3167,7,t2t
926,fa3167,8,t2t
927,mi2043,0,i2t
928,mi2043,1,i2t
929,mi2043,3,i2t
930,mi2043,6,i2t
931,fa1940,0,t2t
932,fa1940,1,t2t
933,fa1940,6,t2t
934,fa1940,9,t2t
935,mi2772,1,t2t
936,mi0358,0,t2t
937,mi0358,1,t2t
938,mi0358,9,t2t
939,mi1965,0,t2t
940,mi1965,1,t2t
941,mi1965,2,t2t
942,mi1965,3,t2t
943,mi1965,4,t2t
944,mi1965,6,t2t
945,mi1965,8,t2t
946,mi1965,9,t2t
947,mi1965,0,i2t
948,mi1965,4,i2t
949,fa3738,0,t2t
950,fa3738,1,t2t
951,fa3738,7,t2t
952,mi5168,1,i2t
953,fa1907,0,t2t
954,fa1907,5,t2t
955,fa1907,6,t2t
956,fa1907,8,i2t
957,fa4093,2,i2t
958,mi1914,0,i2t
959,mi2756,0,t2t
960,mi2756,1,t2t
961,mi2756,6,t2t
962,mi2756,7,t2t
963,mi2247,5,t2t
964,mi2247,6,t2t
965,mi2247,7,t2t
966,mi2256,0,t2t
967,mi2256,8,i2t
968,mi2127,1,i2t
969,mi2127,2,i2t
970,mi2127,3,i2t
971,mi2127,5,i2t
972,mi2211,0,t2t
973,mi2211,1,t2t
974,mi2211,5,t2t
975,mi2211,7,t2t
976,mi2211,9,t2t
977,mi1971,0,t2t
978,mi1971,1,t2t
979,mi1971,2,t2t
980,mi1971,3,t2t
981,mi1971,7,t2t
982,mi1971,1,i2t
983,mi4398,3,t2t
984,mi4398,5,t2t
985,mi4398,2,i2t
986,mi4398,4,i2t
987,mi5159,0,t2t
988,mi5159,1,t2t
989,mi5159,5,t2t
990,fa2579,2,t2t
991,fa2579,3,t2t
992,fa2579,5,t2t
993,fa2579,6,t2t
994,fa2579,1,i2t
995,mi4476,5,t2t
996,mi2004,5,t2t
997,mi2004,3,i2t
998,fa0029,1,t2t
999,fa0029,3,t2t
1000,fa0029,5,t2t
1001,fa0029,4,i2t
1002,fa0029,9,i2t
1003,fa2164,0,t2t
1004,fa2164,2,t2t
1005,fa2164,5,t2t
1006,fa2164,8,t2t
1007,fa2164,3,i2t
1008,mi0354,0,t2t
1009,mi0354,2,t2t
1010,mi0354,3,t2t
1011,mi0354,5,t2t
1012,mi0354,8,t2t
1013,mi0354,1,i2t
1014,mi2494,1,t2t
1015,mi4968,1,i2t
1016,mi4968,3,i2t
1017,mi4968,4,i2t
1018,fa1518,4,t2t
1019,fa1518,6,t2t
1020,fa1518,9,t2t
1021,fa0392,0,t2t
1022,fa0392,3,t2t
1023,fa0392,5,t2t
1024,fa0392,9,t2t
1025,fa0392,0,i2t
1026,fa0392,3,i2t
1027,mi2058,0,t2t
1028,mi2058,4,t2t
1029,mi2058,7,t2t
1030,mi2058,9,t2t
1031,mi4244,4,i2t
1032,mi2041,0,t2t
1033,mi2041,3,t2t
1034,mi2041,6,t2t
1035,mi2041,9,t2t
1036,mi2041,1,i2t
1037,fa3913,0,t2t
1038,fa3913,2,t2t
1039,fa3913,4,t2t
1040,fa3913,5,t2t
1041,fa3913,7,t2t
1042,fa3913,9,t2t
1043,fa1234,5,i2t
1044,fa1234,9,i2t
1045,fa2232,0,t2t
1046,fa2232,2,t2t
1047,fa2232,4,t2t
1048,fa2232,6,t2t
1049,mi3953,3,t2t
1050,fa0497,1,t2t
1051,fa0497,4,t2t
1052,fa0497,5,t2t
1053,mi3707,6,t2t
1054,mi3707,4,i2t
1055,mi3795,2,t2t
1056,mi3795,3,t2t
1057,mi3795,4,t2t
1058,mi3795,7,t2t
1059,mi3795,9,t2t
1060,fa3636,0,t2t
1061,fa3636,1,t2t
1062,fa3636,4,i2t
1063,fa3636,6,i2t
1064,mi4762,5,t2t
1065,mi3127,1,t2t
1066,mi3127,2,t2t
1067,mi3127,8,i2t
1068,mi4782,2,i2t
